id;platform;text;traffic;sport;work;culture;events;politics
20;0;V ulici Mlýnská se kvůli opravám Dornychu otočila jednosměrka 🚗\n#kopemezabrno → https://link.com/12345;1;0;0;0;0;0
21;0;V Urban centru dnes začíná výstava, která představí to nejlepší z 10. ročníku architektonické soutěžní přehlídky mladých začínajících architektů do 33 let na téma „Architektonické dílo, které iniciuje společenský život a rozvoj místa“. https://link.com/12345;0;0;0;1;1;0
22;0;Další změna v kádru Komety Brno. #hokej https://link.com/12345;0;1;0;0;0;0
23;0;Sledujte živě právě probíhající úplné zatmění Měsíce prostřednictvím dalekohledů @Hvezdarna: https://link.com/12345 Další bude na řadě až v září 2025! #měsíc #zatmění https://link.com/12345;0;0;0;0;1;0
24;0;Brněnskou Kometu posílí hokejový obránce Zbyněk Michálek. Hráč s téměř osmi stovkami startů v NHL hrál naposledy za pražskou Spartu. Dvakrát získal i medaili na mistrovství světa. Extraligový titul mu zatím chybí. Dosáhne na něj v Kometě? https://link.com/12345;0;1;0;0;0;0
25;0;"21. 01. 2019 11:25 - 21. 01. 2019 13:15 - Brno-Slatina - Brno-jih 201 km - 196 km -&gt; havarované vozidlo - Pro poruchu odstavené NA. - 197 - 197 ,2 km https://link.com/12345";1;0;0;0;0;0
26;0;Jakub Orsava míří z Mladé Boleslavi do Komety Brno. Opačným směrem putuje Radim Zohorna \nhttps://link.com/12345;0;1;0;0;0;0
27;0;Zbrojovka Brno - SK Slovan Bratislava  Tip - 2/2;0;1;0;0;0;0
28;0;[Job] Partner Success Manager | Company: Red Hat, Inc. | Location: Brno JM  Czech Republic | #Brno #Telecommunications #Engineering #Jobs | More info at  https://link.com/12345;0;0;1;0;0;0
29;0;"21. 01. 2019 10:52 - 21. 01. 2019 12:55 - Brno-východ - Holubice 203 km - 210 km -&gt; nehoda - 2 x osobní - na místě HZS, ZZS a PČR https://link.com/12345";1;0;0;0;0;0
30;0;Looking for Software Tester skilled in Linux and Python. You should be also skilled in the networking area (you must know protocols TCP/IP). Workplace: BRNO. We prefer candidates located in the Czech Republic as the job cannot be done remotely. #networkin…https://link.com/12345;0;0;1;0;0;0
31;0;Ani tuhý mráz zvědavce neodradil. V brněnském planetáriu sledovali zatmění Měsíce lidé všeho věku + FOTO https://link.com/12345 #brno #planetarium #mesic #zatmeni #EclipseLunar2019;0;0;0;0;1;0
32;0;"Právě probíhá povolování změny dopravního značení na křižovatce Táborská/Gajdošova_O.Ševčíka. Jedná se o instalaci tzv. ""zelené šipky"" a to ve směru Táborská/Gajdošova, což by mělo zvýšit bezpečnost a zrychlit průjezd. Realizace cca 03-04/2019. 🚦🚗\n#židenice #brno #doprava https://link.com/12345";1;0;0;0;0;0
33;0;Pracovnice / pracovník na pozici odborného výzkumného pracovníka (kategorie #postdoktorand, úvazek 0,1): výzkum a vývoj matematických modelů a optimalizačních algoritmů pro mikrořasové biologické systémy – : https://link.com/12345 #jobs #Brno  #postdoc;0;0;1;0;0;0
34;0;"Na BVV Brno dnes začaly veletrhy Go a Regiontour.\nPřijďte si vybrat dovolenou, získat tipy na výlety nebo jen poznat místa, která zatím neznáte :)\nA cestou se zastavte na našem stánku. Spolu s Jihomoravským krajem jsme připravili zajímavý program ;) https://link.com/12345";0;0;0;0;1;0
35;0;Pavilonu B dnes dominuje zelená barva. 🌲 Koná se tam totiž Zelená burza, na které najdete výpěstky z celé republiky.\n#bvv #brno #zelenaburza https://link.com/12345;0;0;0;0;1;0
36;0;Go a Regiontour, výstava ledových soch ❄ či winter run 🏃\u200d♂\nTakové jsou #vikendovetipy → https://link.com/12345 https://link.com/12345;0;0;0;0;1;0
37;0;"Hrozí riziko námrazy, do ulic vyjely tyto vozy, aby troleje ošetřily nemrznoucí směsí. Pro novou ""mazačku"" je to dnes premiérová jízda! https://link.com/12345";1;0;0;0;0;0
38;0;Naše vozy prochází různými druhy prohlídek. Tento byl od listopadu v generální prohlídce a ve formě opět brázdí ulice města Brna. https://link.com/12345;1;0;0;0;0;0
39;0;Za projekt autobusu poháněného bioplynem z odpadní vody jsme získali ocenění v soutěži Chytrá města pro budoucnost 2018! #institutcirkularniekonomiky #membrain #brnenskevodarny #dpmbofficial https://link.com/12345;1;0;0;0;0;1
40;0;K tradiční týmové výzvě Do práce na kole🚵🚴 se můžou cyklisté letos poprvé připojit i v lednu. Na jižní Moravě se zatím přihlásilo cca 300 účastníků, registrace končí dnes večer. Své trasy budou jednotlivci nebo týmy zaznamenávat do konce týdne. @ibesip #doprava #cyklistika https://link.com/12345;1;0;0;0;0;0
41;0;Dobrý den, tyto autobusy jsou momentálně pro skrytou vadu v reklamační řízení. Věc řešíme s dodavatelem autobusů. Pěkný den.;1;0;0;0;0;0
42;0;Temné, poetické i groteskní vize budoucnosti. 😱 Na všechny tyto přístupy se můžete těšit v inscenaci Činohra NdB: Zemský ráj to na dohled?! Premiéra v sobotu 26. ledna, nejbližší reprízy 27. a 29. 1. https://link.com/12345;0;0;0;1;1;0
43;0;Nová nabídka:\n-----\nCustomer Success Manager pro Kentico\n(Brno, Full-time)\n🌐 https://link.com/12345\n-----\n #startupjobs #prace #job https://link.com/12345;0;0;1;0;0;0
44;0;Visiting our #Brno offices to meeting f2f with all our genius people over here. Red Hat https://link.com/12345;0;0;1;0;0;0
45;0;"K Ř E S T\nUž příští pátek: Pokřtíme Tafrobovu pátou sólo desku Není co ztratit 2, Daniel pokřtí svoje EP, který mu produkoval DJ Fatte a společně pokřtíme desku 1991 od Michajlova.\n&gt;&gt;event: 1.2. Není Co Ztratit 2 - Brno | Kabinet MÚZ\n&gt;&gt;předprodej:... https://link.com/12345";0;0;0;1;1;0
46;0;Nová nabídka:\n-----\nSpecialista technické podpory pro ZONER software, a.s.\n(Brno, Full-time)\n🌐 https://link.com/12345\n-----\n #startupjobs #prace #job https://link.com/12345;0;0;1;0;0;0
47;0; Zmiňuji pouze to,o čem vím.Tohle je fakt.Centra měst by měla být obydlena lidmi,nikoli pouze obchody.Tomu je potřeba přizpůsobit i cenovou politiku nájmů.A Brno v tom není bohužel jediné.Sociální byty má v jiných lokalitách za 60-80Kc/m.;0;0;0;0;0;1
48;0;Dnes konference Brno Industry 4.0, prvním mluvčím partner NCP40 Jan Burian z ČR. NCP40 nemůže chybět, těšíme se na zajímavá setkání s obchodními partnery a inspiraci. https://link.com/12345;0;0;0;0;1;0
49;0;"[Job] Supplier Quality &amp; Development Engineer : Casting &amp; Machining Commodity | Company: Garrett Advancing Motion | Location: Brno JM  Czech Republic | #Brno #Quality #Engineering #Jobs | More info at  https://link.com/12345";0;0;1;0;0;0
50;0;SOUTĚŽ o  VSTUPENKY!\n\n➡️➡️  na koncert Alexandra Rybaka a fenomenální sopranistky Eliny Neschayevové v brněnském klubu Fléda ⤵️ \n\n#soutez #vstupenky #ticketmastercz #fledaklub #brno #rybak https://link.com/12345;0;0;0;1;1;0
51;0;[Job] Quality Engineer - JBoss Web Server | Company: Red Hat, Inc. | Location: Brno JM  Czech Republic | #Brno #Quality #Engineering #Jobs | More info at  https://link.com/12345;0;0;1;0;0;0
52;0;Something nice from Brno ❤️ 29. 12. 2018 a Prodaná nevěsta v Janáčkově divadle #mycity #brno #czechrepublic #prodananevesta #opera #architecture #theatre #janackovodivadlo #czechgirl… https://link.com/12345;0;0;0;1;1;0
53;0;Brno chce umožnit lidem uzavírat sňatek v prostorách brněnské zoo. Je o to velký zájem, řekl náměstek primátorky Petr Hladík. Podle něj vyjde vytvoření zázemí... https://link.com/12345 prostřednictvím Týdencz;0;0;0;0;0;1
54;0;"22. 01. 2019 10:09 - 22. 01. 2019 10:45 - Brno-jih - Brno-centrum 196 km - 194 km -&gt; havarované vozidlo - neprůjezdný pruh pro záchranná vozidla - odstavené osobní https://link.com/12345";1;0;0;0;0;0
55;0;Brno má rekordní počet speciálně placených politiků. Široká koalice ODS, KDU-ČSL, Pirátů a ČSSD si odhlasovala vyšší odměny pro deset z jedenácti radních a dva řadové zastupitele. Město tak bude platit o tři a půl milionu ročně víc než v předchozím období. https://link.com/12345;0;0;0;0;0;1
56;0;[28.03.2019] Školení Brno : Tvůrčím psaním k rozvoji kreativity - ICT Pro s.r.o. – Kurzy… https://link.com/12345;0;0;0;0;1;0
57;0;Barevná, nebo černobílá? Máňa, nebo třeba Carmen? 🤔🚋\n\nBrňané si budou moci navrhnout a pojmenovat novou šalinu @DopravniPodnik.\n\nNávrhy podoby je možné posílat do 28. 2. na email@dopravnipodnik.cz. Po hlasování o finální podobě pak DPMB plánuje stejný postup i s výběrem názvu. https://link.com/12345;1;0;0;0;0;0
58;0;Pracovníci Brněnských komunikaci dnes odstranili citybloky, které bránily vjezdu k Hokejové hale dětí a mládeže na Ponavě.;1;0;0;0;0;0
59;0;💧🏐 Tři kryté kurty na plážový volejbal budou moci od sezóny 2020 využívat návštěvníci Riviéry 🏐💧\nDíky kurtům bude v areálu zahájen celoroční provoz. Vzniknou i dvě budovy se zázemím – jedna s občerstvením 🌭, ve druhé budou šatny a sprchy 🚿. Stavět se začne letos v říjnu. https://link.com/12345;0;1;0;0;0;0
60;0;Právě začala konference 'Jaka je budoucnost metropolitní spolupráce v ČR?'. Tu pořádá město Brno a informace o ní najdete pod hashtagem #myslimemetropolitne. https://link.com/12345;0;0;0;0;1;1
61;0;Pojďte s námi rozhodnout, jak budou vypadat nové Tramvaje pro Brno. Stáhněte si šablonu a dle podmínek vytvořte vizuální návrh. My vyberme finalisty, vy pak vítěze. Podrobnosti a podmínky na https://link.com/12345 \n@DopravniPodnik https://link.com/12345;1;0;0;0;0;0
62;0;Už si nemusíte dělat vykřičník do kalendáře. Pokud jste občanem Brna a kupujete si roční předplatní jízdenku, emailem vás včas upozorníme, ať si zažádate o příspěvek v rámci dotačního programu města. Učinit tak můžete v eshopu BRNO iD. https://link.com/12345;1;0;0;0;0;0
63;0;Situaci stále komplikuje padající sníh, největší problémy mají naše autobusy a trolejbusy v kopcích - Útěchov, Kohoutovice, Líšeň a v důsledku dopravních nehod, vzpříčených kamionů a podobně. Nejjistější doprava po Brně je aktuálně tramvajová. Foto: Dolní nádraží. https://link.com/12345;1;0;0;0;0;0
64;0;"Doprava je srdeční záležitostí mnohých z nás. Ideální je, pokud i ve vedení dopravních podniků stojí ""srdcaři"". Dle tohoto článku se tak naštěstí stále děje. https://link.com/12345";1;0;0;0;0;0
65;0;Po čtyřech hodinách opět jezdíme do Horních Heršpic, kde dopravu zastavil vzpříčený kamion. Obnovená je i doprava do Útěchova a Bosonoh. Všechny části města jsou ač se zpožděním,tak obsluhovaná. Foto: z okénka dispečerského auta. https://link.com/12345;1;0;0;0;0;0
66;1;"Prostějovské volejbalistky jdou dál, v souboji Brno - Praha se pokračuje Prostějovské volejbalistky podruhé za sebou porazily Přerov v pěti setech a postoupily do semifinále extraligy. Obhájkyně titulu rozhodly sérii v přerovské hale a na zápasy vyhrály 3:1. Jejich příštím sokem bude Dukla Liberec.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/extraliga-volejbalistek-ctvrtfinale-play-off-3-zapasy-olomouc-postup.A190323_183341_volejbal_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003ePrvní postupy. Volejbalistky Olomouce a Liberce jsou v semifinále\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/volejbal-extraliga-zen-2-zapasy.A190320_201124_volejbal_ald#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003ePřerov srovnal čtvrtfinále s Prostějovem, Olomouc podruhé uspěla\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/extraliga-volejbalistek-ctvrtfinale.A190320_464983_volejbal_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eVolejbalistky Olomouce a Prostějova začaly play off přesvědčivě\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e"",""text"":""Prostějovské volejbalistky jdou dál, v souboji Brno - Praha se pokračuje Prostějovské volejbalistky podruhé za sebou porazily Přerov v pěti setech a postoupily do semifinále extraligy. Obhájkyně titulu rozhodly sérii v přerovské hale a na zápasy vyhrály 3:1. Jejich příštím sokem bude Dukla Liberec.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/extraliga-volejbalistek-ctvrtfinale-play-off-3-zapasy-olomouc-postup.A190323_183341_volejbal_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003ePrvní postupy. Volejbalistky Olomouce a Liberce jsou v semifinále\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/volejbal-extraliga-zen-2-zapasy.A190320_201124_volejbal_ald#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003ePřerov srovnal čtvrtfinále s Prostějovem, Olomouc podruhé uspěla\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/volejbal/extraliga-volejbalistek-ctvrtfinale.A190320_464983_volejbal_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eVolejbalistky Olomouce a Prostějova začaly play off přesvědčivě\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e";0;1;0;0;0;0
67;1;"Životní zápas Michaely Vackové. Rozhodla první brněnské semifinále Basketbalistky USK Praha zahájily semifinálovou sérii s Hradcem Králové jednoznačným domácím vítězstvím 109:55. Do brněnského souboje vykročily lépe Žabiny, které porazily loňské finalistky z KP Brno 73:61.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/zabiny-ewbl.A190317_180729_sport-basket_ald#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŽabiny skončily čtvrté v mezinárodní EWBL, přišly o dvě zraněná esa\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/liga-zen-ctvrtfinale-zabiny-brno-trutnov.A190314_214147_sport-basket_rou#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBasketbalistky Žabin jsou po pěti letech v ligovém semifinále\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/zenska-basketbalova-liga-trutnov-zabiny-brno-druhy-zapas-ctvrtfinale.A190312_205252_sport-basket_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŽabiny jsou jeden skok od semifinále, Trutnov nespasil návrat legendy\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/liga-zen-semifinale-kp-zabiny-brno.A190327_082603_sport-basket_rou#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBude to bolet, tuší hráčky před brněnským derby. Hraje se o finále\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e"",""text"":""Životní zápas Michaely Vackové. Rozhodla první brněnské semifinále Basketbalistky USK Praha zahájily semifinálovou sérii s Hradcem Králové jednoznačným domácím vítězstvím 109:55. Do brněnského souboje vykročily lépe Žabiny, které porazily loňské finalistky z KP Brno 73:61.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/zabiny-ewbl.A190317_180729_sport-basket_ald#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŽabiny skončily čtvrté v mezinárodní EWBL, přišly o dvě zraněná esa\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/liga-zen-ctvrtfinale-zabiny-brno-trutnov.A190314_214147_sport-basket_rou#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBasketbalistky Žabin jsou po pěti letech v ligovém semifinále\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/zenska-basketbalova-liga-trutnov-zabiny-brno-druhy-zapas-ctvrtfinale.A190312_205252_sport-basket_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŽabiny jsou jeden skok od semifinále, Trutnov nespasil návrat legendy\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/liga-zen-semifinale-kp-zabiny-brno.A190327_082603_sport-basket_rou#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBude to bolet, tuší hráčky před brněnským derby. Hraje se o finále\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e";0;1;0;0;0;0
68;1;"V Brně-Ivanovicích odvolali z funkce stíhaného místostarostu Liškutina Zastupitelé městské části Brno-Ivanovice na mimořádném zasedání jednomyslně odvolali z funkce místostarosty Petra Liškutina (dříve ANO). Sám nerezignoval. Liškutin je s dalšími čtyřmi lidmi ve vazbě kvůli podezření na manipulaci zakázek na radnici Brno-střed, kde pracoval jako vedoucí odboru investic.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/svachula-korupce-ano-brno-babis-ve-snemovne.A190314_180720_domaci_kop#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBrněnské politiky Švachulu a Liškutina, kteří jsou ve vazbě, ANO vyloučilo\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/policie-razie-jaroslav-faltynek-ano-snemovna.A190307_103905_domaci_cern#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eRazie v Kapschi, Brně a u Faltýnka. Má jít o korupci kvůli zakázce na mýtné\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e";0;0;0;0;0;1
69;1;"Bude to bolet, tuší hráčky před brněnským derby. Hraje se o finále Brněnský ženský basketbal bude mít po roce opět svůj tým ve finále nejvyšší soutěže. Kdo to bude, o tom rozhodne semifinále mezi obhájkyněmi ligového stříbra KP Brno a Žabinami, družstvem na vzestupu. „Půjde se nadoraz, bude to bolet. Fyzicky a mentálně to bude nastavené na maximum,“ očekává Martin Pospíšil, trenér KP Brno.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/liga-zen-ctvrtfinale-zabiny-brno-trutnov.A190314_214147_sport-basket_rou#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eBasketbalistky Žabin jsou po pěti letech v ligovém semifinále\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/basket-liga-zeny-ctvrtfinale-2-zapasy.A190316_214842_sport-basket_ald#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eKP Brno zvrátilo čtvrtfinále na Slavii, Hradec neměl slitování s Nymburkem\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/sport/basket/zenska-basketbalova-liga-semifinale-usk-praha-hradec-kralove-zabiny-kp-brno.A190327_194407_sport-basket_ten#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŽivotní zápas Michaely Vackové. Rozhodla první brněnské semifinále\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e";0;1;0;0;0;0
70;1;"Miliony od podnikatelů blízkých Zemanovi šly na účty stíhaného Švachuly Prezident Zeman odmítl odvolat šéfa antimonopolního úřadu Petra Rafaje. Ač ho policisté podezřívají z manipulování miliardové zakázky na mýto, Zeman tomu nevěří. Miliony od podnikatelů blízkých prezidentovi ovšem přistály na účtech matky Jiřího Švachuly, který podle vyšetřovatelů ohnutí tendru zprostředkoval.\u003cul\u003e\u003cb\u003eDalší články k tématu:\u003c/b\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/jiri-faltynek-korupcni-kauza-hnuti-ano.A190309_202021_domaci_lva#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eSyn Faltýnka koupil vilu od stíhaného. A Brno mu dalo stamilionové zakázky\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/brno/zpravy/jiri-svachula-uplatky-manipulace-verejne-zakazky-usneseni-statni-zastupitelstvi.A190319_090836_brno-zpravy_krut#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eŠvachula podle spisu paralyzoval systém zakázek, z úplatků měl devět milionů\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/snemovna-myto-faltynek-kapsch-antimonopolni-urad.A190314_103024_domaci_kop#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eMédia ze mě dělají zloděje, měl jsem právo s šéfem ÚOHS jednat, říká Faltýnek\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/policie-razie-jaroslav-faltynek-ano-snemovna.A190307_103905_domaci_cern#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eRazie v Kapschi, Brně a u Faltýnka. Má jít o korupci kvůli zakázce na mýtné\u003c/a\u003e\u003c/li\u003e\u003cli\u003e\u003ca href=\""https://www.idnes.cz/zpravy/domaci/zeman-rozhovor-prezident-gerloch-rafaj-myto-tendr-odvolani-istvan.A190322_152114_domaci_pmk#utm_source=rss\u0026utm_medium=feed\u0026utm_campaign=brnoh\u0026utm_content=related\""\u003eVinu Rafaje ani Faltýnka dosud nedokázali, řekl Zeman. Nevěří Ištvanovi\u003c/a\u003e\u003c/li\u003e\u003c/ul\u003e";0;0;0;0;0;1
